Date,Open,High,Low,Close,Adj Close,Volume
2015-08-27,2925.000000,2942.000000,2851.899902,2901.050049,2870.811035,653750
2015-08-28,2912.100098,2968.899902,2912.100098,2946.750000,2916.034668,403751
2015-08-31,2948.000000,2955.350098,2878.399902,2889.800049,2859.678467,303137
2015-09-01,2839.000000,2905.000000,2777.850098,2834.100098,2804.558838,263764
2015-09-02,2870.000000,2910.000000,2843.350098,2886.100098,2856.017090,240078
2015-09-03,2883.000000,3022.000000,2883.000000,3003.899902,2972.588867,233282
2015-09-04,2995.000000,2995.000000,2891.100098,2915.100098,2884.714844,382219
2015-09-07,2912.000000,2945.199951,2850.000000,2854.350098,2824.597656,186676
2015-09-08,2862.500000,2895.000000,2809.000000,2883.899902,2853.839600,289885
2015-09-09,2910.000000,2999.000000,2910.000000,2985.000000,2953.885986,211211
2015-09-10,2931.000000,2978.949951,2902.100098,2964.399902,2933.500488,156082
2015-09-11,2993.850098,2997.850098,2923.699951,2942.199951,2911.531982,120249
2015-09-14,2948.000000,2963.550049,2920.100098,2949.000000,2918.260986,126730
2015-09-15,2964.000000,2964.000000,2902.899902,2920.000000,2889.563477,146660
2015-09-16,2926.550049,2969.000000,2911.149902,2933.899902,2903.318359,299661
2015-09-18,2945.000000,3018.949951,2921.000000,2937.949951,2907.326172,486571
2015-09-21,2924.899902,2926.899902,2873.050049,2906.199951,2875.907227,203198
2015-09-22,2925.000000,2936.250000,2790.000000,2808.500000,2779.225830,304070
2015-09-23,2789.550049,2805.000000,2757.500000,2783.000000,2753.991455,485984
2015-09-24,2783.000000,2828.000000,2726.949951,2811.100098,2781.798584,287716
2015-09-28,2790.000000,2790.050049,2711.250000,2717.800049,2689.470947,404543
2015-09-29,2700.000000,2762.000000,2622.050049,2710.449951,2682.197510,386494
2015-09-30,2724.699951,2741.550049,2652.300049,2673.399902,2645.533936,755747
2015-10-01,2670.000000,2779.500000,2669.000000,2773.449951,2744.540771,677149
2015-10-05,2791.800049,2830.000000,2781.199951,2816.449951,2787.092773,556333
2015-10-06,2831.899902,2832.750000,2753.149902,2767.800049,2738.950195,374824
2015-10-07,2756.000000,2790.000000,2735.100098,2753.500000,2724.798828,445272
2015-10-08,2754.899902,2828.199951,2748.199951,2817.649902,2788.280029,238149
